status,enter row,exit row,enter price,exit price,percentage
+,30,144,578.21,619.87,7.20499
+,236,410,604.03,647.82,7.24964
+,428,452,659.5,706,7.0508
+,468,650,709.95,758.35,6.81738
+,654,769,768.6,821.26,6.85142
+,771,781,853.3,894.5,4.82831
+,797,833,884.52,958,8.30733
+,836,851,974,1068.8,9.73306
-,889,892,883,759.04,-14.0385
+,925,928,846.35,883.61,4.40243
+,949,1014,905.51,956.35,5.61452
+,1020,1056,974.33,1037.91,6.52551
+,1094,1136,995,1065.81,7.11658
+,1148,1153,1109.9,1178.08,6.1429
+,1170,1192,1153,1256.62,8.98699
-,1239,1289,1249,973.44,-22.0624
+,1302,1400,1077.13,1150.34,6.79677
+,1402,1483,1184,1242.99,4.98226
+,1508,1549,1246.97,1368,9.70593
+,1554,1567,1403.09,1494.85,6.53985
+,1587,1589,1508.23,1595.17,5.76437
+,1592,1606,1625.85,1728.99,6.34376
+,1609,1659,1795.09,1922.03,7.07151
+,1664,1673,1992.09,2139.19,7.3842
+,1675,1686,2197.6,2379.48,8.2763
+,1688,1691,2430,2572.99,5.88436
+,1718,1741,2222.3,2358.54,6.13059
+,1743,1760,2406.55,2592.99,7.74719
+,1762,1797,2746.32,2870.99,4.53953
+,1830,1850,2532.2,2716.18,7.26562
-,1898,1996,2519.59,2106.53,-16.3939
+,2012,2015,2151.8,2231.8,3.71782
+,2028,2029,2511.8,2612.3,4.00111
+,2031,2098,2749.85,2911.8,5.88941
+,2113,2122,2760.4,3136.9,13.6393
+,2125,2145,3286.9,3459.79,5.25997
+,2164,2169,3504.48,3731.8,6.48655
+,2172,2176,3936.79,4190.79,6.45196
+,2188,2256,4275.8,4534.7,6.05501
-,2267,2283,4680.4,4082.01,-12.785
-,2290,2327,4536.92,3473.3,-23.4437
+,2338,2382,3953.72,4068.01,2.8907
+,2385,2423,4228.14,4568.98,8.06123
+,2427,2443,4624.49,5097.49,10.2282
+,2445,2448,5318.14,5706.13,7.2956
+,2481,2515,5967.8,6140.65,2.89638
+,2522,2531,6319.95,6790.38,7.44357
+,2533,2556,6967.53,7398.8,6.18971
-,2558,2573,7459.67,5898.76,-20.9247
+,2585,2590,6760.9,7244.28,7.14964
+,2593,2596,7432.1,7862.91,5.79661
+,2606,2633,8117.24,9514.82,17.2174
+,2640,2647,9813.41,10670.6,8.73448
+,2662,2669,10891.9,11498.7,5.5713
+,2675,2680,11888.2,13141.7,10.5434
+,2683,2685,14554.2,15304,5.15178
+,2687,2702,16564.1,17138.7,3.46883
+,2718,2723,17079.6,18376.8,7.59551
+,2760,2763,15035.3,15659,4.1485
-,2766,2849,16247.9,11357.9,-30.0961
+,2946,2963,8229.11,8705.7,5.79151
+,2976,2980,9151.48,9629.44,5.22276
+,2983,2993,10015.1,10887.2,8.70755
-,2997,3076,11406,8427.9,-26.1098
+,3108,3124,8408.95,8970.98,6.68371
+,3178,3222,7292.36,7628.56,4.6103
+,3227,3261,8050.67,8757.16,8.77554
+,3267,3314,9099.05,9587.14,5.36419
-,3381,3413,8403.96,7165.04,-14.7421
-,3422,3486,7422.01,6388.79,-13.921
+,3494,3632,6587.03,7239.87,9.91099
+,3658,3663,7777.88,8340.26,7.2305
+,3734,3809,6487.55,6961.92,7.31201
-,3830,3860,7201.52,6172.94,-14.2828
-,3878,4147,6336,5558.32,-12.274
+,4199,4203,3973.39,4229.89,6.45544
+,4279,4288,3379.4,3681.65,8.9439
+,4291,4296,3861.4,4063.9,5.24421
+,4332,4724,3848.64,4110.39,6.8011
+,4728,4731,4130.64,4688,13.4933
+,4740,4821,5120.38,5510.41,7.61721
+,4853,4870,5202.9,5669.64,8.97077
+,4881,4899,5881.4,6291.15,6.96688
+,4902,4904,6368.65,7038.15,10.5124
+,4907,4908,7361.15,7873.15,6.95543
+,4961,4964,8040.39,8910.89,10.8266
+,5020,5054,7965.89,9197.39,15.4597
+,5057,5084,9260.14,10626.4,14.7541
+,5092,5097,11279.3,12427.2,10.1772
-,5100,5121,13544.4,9881.84,-27.041
+,5126,5149,11239.9,12197.5,8.51957
-,5151,5184,12708.2,9889.78,-22.1778
+,5196,5264,10460.9,11229.1,7.34402
-,5266,5485,11739.1,8526.63,-27.3658
+,5508,5559,8270.29,8715.55,5.38385
+,5594,5624,8209.1,9705.15,18.2243
-,5658,5719,9307.65,8205.15,-11.8451
+,5760,5930,7561.65,7897.38,4.4399
+,5935,5963,8012.63,8572.14,6.98285
+,5980,6037,8941.7,9545.14,6.7486
+,6059,6074,9427.14,10119.6,7.34581
-,6084,6150,10293.6,8704.15,-15.4415
-,6169,6210,8934.15,7660.15,-14.2599
+,6244,6246,5600.5,6342.47,13.2483
+,6250,6268,6769.48,6880.06,1.63351
+,6302,6316,6632.61,7066.22,6.53755
+,6319,6404,7226.13,7738.12,7.08526
+,6417,6420,7841.58,8594.42,9.60062
+,6423,6456,9158.57,9631.75,5.16653
+,6458,6798,10031.1,10846.5,8.12818
+,6800,6844,11238.7,11709.5,4.18973
-,6855,6968,12008.3,10275.3,-14.4313
+,6993,7121,10377.9,11066.5,6.63575
