status,enter row,exit row,enter price,exit price,percentage
+,30,342,578.21,633,9.4758
+,344,451,637.8,698.79,9.56256
+,453,731,711.57,772.97,8.62881
+,740,771,777.19,853.3,9.79297
+,775,810,866.36,934.44,7.85817
+,833,849,958,1024.78,6.97077
-,851,861,1068.8,852,-20.2844
-,889,892,883,759.04,-14.0385
+,925,949,846.35,905.51,6.99002
+,982,1023,907.14,984,8.47278
+,1025,1137,991.9,1090.01,9.89112
+,1148,1188,1109.9,1199.8,8.09983
-,1190,1288,1216.59,1031.55,-15.2097
+,1302,1402,1077.13,1184,9.92174
+,1408,1525,1188.09,1299.21,9.35283
+,1545,1565,1305.01,1449.4,11.0643
+,1567,1592,1494.85,1625.85,8.76342
+,1594,1609,1672.94,1795.09,7.30152
+,1642,1656,1725.01,1879.49,8.95531
+,1659,1672,1922.03,2087.99,8.63462
+,1675,1686,2197.6,2379.48,8.2763
+,1688,1692,2430,2700.04,11.1128
+,1718,1743,2222.3,2406.55,8.29096
+,1747,1761,2476.64,2672.31,7.90062
-,1764,1993,2792.79,2187,-21.6912
+,2012,2016,2151.8,2286.8,6.27382
+,2028,2029,2511.8,2612.3,4.00111
+,2031,2122,2749.85,3136.9,14.0753
+,2125,2165,3286.9,3541.8,7.75503
+,2167,2172,3589.79,3936.79,9.6663
+,2175,2192,4062.61,4353.7,7.1651
+,2207,2273,4416.15,4829.29,9.35521
-,2275,2283,4867.96,4082.01,-16.1454
-,2290,2327,4536.92,3473.3,-23.4437
+,2338,2384,3953.72,4157.56,5.15565
+,2386,2427,4252.42,4624.49,8.74961
+,2434,2445,4851.39,5318.14,9.62095
+,2447,2481,5392.38,5967.8,10.671
+,2504,2522,5934.9,6319.95,6.48789
+,2527,2534,6523.12,7079.12,8.52353
+,2539,2606,7365.38,8117.24,10.208
+,2613,2633,8265.35,9514.82,15.117
+,2640,2647,9813.41,10670.6,8.73448
+,2662,2674,10891.9,11694.7,7.37062
+,2676,2680,12167.9,13141.7,8.00287
+,2683,2686,14554.2,15591.7,7.12853
+,2698,2723,16883.6,18376.8,8.84452
+,2760,2766,15035.3,16247.9,8.06475
+,2792,2808,14690.8,15903,8.25184
-,2810,2849,16777.1,11357.9,-32.3011
+,2946,2976,8229.11,9151.48,11.2086
+,2979,2985,9343.01,10222.7,9.41506
+,2991,2997,10519.2,11406,8.42959
-,3001,3073,11598.5,9215.29,-20.5474
-,3108,3165,8408.95,6750.6,-19.7212
+,3178,3225,7292.36,7822.04,7.26349
+,3227,3261,8050.67,8757.16,8.77554
-,3267,3401,9099.05,7325.89,-19.4873
-,3422,3487,7422.01,6209.2,-16.3407
+,3494,3632,6587.03,7239.87,9.91099
-,3658,3723,7777.88,6424.7,-17.3978
+,3734,3830,6487.55,7201.52,11.0052
-,3839,3860,7286.13,6172.94,-15.2782
-,3878,4150,6336,5368.86,-15.2642
+,4199,4206,3973.39,4305.13,8.34904
+,4279,4288,3379.4,3681.65,8.9439
+,4291,4300,3861.4,4121.9,6.74626
+,4332,4731,3848.64,4688,21.8093
+,4740,4823,5120.38,5555.66,8.50093
+,4853,4870,5202.9,5669.64,8.97077
+,4881,4902,5881.4,6368.65,8.28459
+,4904,4905,7038.15,7114.15,1.07983
+,4907,4908,7361.15,7873.15,6.95543
+,4961,4964,8040.39,8910.89,10.8266
+,5020,5054,7965.89,9197.39,15.4597
+,5057,5084,9260.14,10626.4,14.7541
+,5092,5097,11279.3,12427.2,10.1772
-,5100,5185,13544.4,9579.08,-29.2763
+,5196,5264,10460.9,11229.1,7.34402
-,5266,5485,11739.1,8526.63,-27.3658
+,5508,5624,8270.29,9705.15,17.3496
-,5658,5721,9307.65,8122.65,-12.7315
+,5760,5936,7561.65,8367.33,10.6548
+,5954,5969,8141.65,8866.14,8.89856
+,5980,6065,8941.7,9737.14,8.89585
-,6074,6160,10119.6,8588.64,-15.129
-,6169,6214,8934.15,7336.65,-17.8808
+,6244,6246,5600.5,6342.47,13.2483
+,6250,6316,6769.48,7066.22,4.3835
+,6319,6417,7226.13,7841.58,8.51701
