status,enter row,exit row,enter price,exit price,percentage
+,30,343,578.21,634.12,9.6695
+,361,452,637.99,706,10.66
+,468,740,709.95,777.19,9.47109
+,763,775,788.2,866.36,9.91626
+,781,837,894.5,985.98,10.2269
-,848,861,1004.63,852,-15.1927
-,889,892,883,759.04,-14.0385
+,925,949,846.35,905.51,6.99002
+,982,1026,907.14,995.1,9.69641
+,1030,1148,999.07,1109.9,11.0933
+,1152,1192,1145.46,1256.62,9.7044
-,1239,1289,1249,973.44,-22.0624
+,1302,1402,1077.13,1184,9.92174
+,1408,1546,1188.09,1310.99,10.3443
+,1549,1565,1368,1449.4,5.95029
+,1567,1594,1494.85,1672.94,11.9136
+,1606,1656,1728.99,1879.49,8.7045
+,1659,1673,1922.03,2139.19,11.2985
+,1675,1688,2197.6,2430,10.5752
-,1690,1703,2487.99,1840,-26.0447
+,1718,1745,2222.3,2420.49,8.91824
+,1747,1762,2476.64,2746.32,10.8889
-,1764,1993,2792.79,2187,-21.6912
+,2012,2016,2151.8,2286.8,6.27382
+,2028,2030,2511.8,2720.8,8.32073
+,2073,2096,2704.8,2889.76,6.83821
+,2098,2125,2911.8,3286.9,12.8821
+,2138,2168,3400.46,3654.86,7.48134
+,2170,2176,3771.8,4190.79,11.1085
+,2188,2267,4275.8,4680.4,9.46256
-,2272,2283,4768.15,4082.01,-14.3901
-,2290,2327,4536.92,3473.3,-23.4437
+,2338,2385,3953.72,4228.14,6.94081
+,2396,2428,4372.33,4819.86,10.2355
+,2434,2447,4851.39,5392.38,11.1512
+,2481,2522,5967.8,6319.95,5.90083
+,2527,2538,6523.12,7209.14,10.5167
-,2558,2573,7459.67,5898.76,-20.9247
+,2585,2593,6760.9,7432.1,9.92767
+,2595,2633,7671.39,9514.82,24.0299
+,2640,2647,9813.41,10670.6,8.73448
+,2662,2675,10891.9,11888.2,9.14763
+,2677,2681,12413.9,13908.4,12.0388
+,2683,2686,14554.2,15591.7,7.12853
+,2698,2723,16883.6,18376.8,8.84452
+,2760,2766,15035.3,16247.9,8.06475
+,2792,2809,14690.8,16275,10.7836
-,2844,2849,14223.6,11357.9,-20.1473
+,2946,2976,8229.11,9151.48,11.2086
+,2979,2991,9343.01,10519.2,12.5895
-,2993,3076,10887.2,8427.9,-22.5887
-,3108,3165,8408.95,6750.6,-19.7212
+,3178,3225,7292.36,7822.04,7.26349
+,3227,3263,8050.67,8836.74,9.76403
-,3267,3401,9099.05,7325.89,-19.4873
-,3422,3487,7422.01,6209.2,-16.3407
+,3494,3632,6587.03,7239.87,9.91099
-,3658,3722,7777.88,6530.34,-16.0396
+,3734,3830,6487.55,7201.52,11.0052
-,3839,3860,7286.13,6172.94,-15.2782
-,3878,4148,6336,5522.18,-12.8444
-,4199,4274,3973.39,3168.15,-20.2658
+,4279,4289,3379.4,3731.4,10.4161
+,4291,4306,3861.4,4157.65,7.67209
+,4332,4731,3848.64,4688,21.8093
+,4740,4870,5120.38,5669.64,10.7269
+,4881,4902,5881.4,6368.65,8.28459
+,4904,4905,7038.15,7114.15,1.07983
+,4907,4908,7361.15,7873.15,6.95543
+,4961,4964,8040.39,8910.89,10.8266
+,5020,5054,7965.89,9197.39,15.4597
+,5057,5084,9260.14,10626.4,14.7541
+,5092,5097,11279.3,12427.2,10.1772
-,5100,5121,13544.4,9881.84,-27.041
+,5126,5150,11239.9,12258.5,9.06246
